Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
UTA,Jonas Jerebko,30,74,19,1134,159,341,0.466,65,157,0.414,94,184,0.511,0.562,46,57,0.807,53,193,246,42,24,12,27,127,429
UTA,Rodney Hood,25,39,12,1084,234,552,0.424,102,262,0.389,132,290,0.455,0.516,85,97,0.876,14,97,111,65,30,7,63,64,655
UTA,Alec Burks,26,64,1,1059,170,414,0.411,47,142,0.331,123,272,0.452,0.467,107,124,0.863,19,173,192,67,37,8,60,75,494
UTA,Ekpe Udoh,30,63,3,810,60,120,0.5,0,1,0,60,119,0.504,0.5,42,56,0.75,68,82,150,53,43,74,20,105,162
UTA,Thabo Sefolosha,33,38,6,806,118,240,0.492,32,84,0.381,86,156,0.551,0.558,44,54,0.815,29,132,161,33,52,12,30,59,312
UTA,Jae Crowder,27,27,0,744,114,295,0.386,48,152,0.316,66,143,0.462,0.468,43,56,0.768,18,84,102,41,23,9,32,63,319
UTA,Joe Johnson,36,32,3,700,95,226,0.42,23,84,0.274,72,142,0.507,0.471,20,24,0.833,12,95,107,45,12,6,31,32,233
UTA,Raul Neto,25,41,0,498,69,151,0.457,19,47,0.404,50,104,0.481,0.52,26,35,0.743,7,42,49,75,13,4,36,38,183
UTA,Dante Exum,22,14,0,235,42,87,0.483,5,18,0.278,37,69,0.536,0.511,25,31,0.806,4,22,26,43,8,3,20,20,114
UTA,Georges Niang,24,9,0,32,4,11,0.364,0,4,0,4,7,0.571,0.364,1,2,0.5,3,6,9,3,2,0,3,1,9
UTA,Tony Bradley,20,9,0,29,3,11,0.273,0,1,0,3,10,0.3,0.273,2,2,1,4,7,11,1,0,0,0,1,8
UTA,Nate Wolters,26,5,0,19,1,6,0.167,0,0,,1,6,0.167,0.167,0,0,,1,1,2,1,0,0,0,1,2
UTA,David Stockton,26,3,0,9,2,3,0.667,2,3,0.667,0,0,,1,4,4,1,0,0,0,0,0,0,1,3,10
UTA,Erik McCree,24,4,0,8,0,2,0,0,1,0,0,1,0,0,0,0,,0,1,1,0,1,0,1,0,0
UTA,Naz Mitrou-Long,24,1,0,1,1,1,1,1,1,1,0,0,,1.5,0,0,,0,0,0,0,0,0,0,0,3
MIN,Andrew Wiggins,22,82,82,2979,569,1300,0.438,112,338,0.331,457,962,0.475,0.481,202,314,0.643,82,276,358,160,91,51,138,163,1452
MIN,Karl-Anthony Towns,22,82,82,2918,639,1172,0.545,120,285,0.421,519,887,0.585,0.596,345,402,0.858,238,774,1012,199,64,115,159,285,1743
MIN,Taj Gibson,32,82,82,2726,425,737,0.577,7,35,0.2,418,702,0.595,0.581,142,185,0.768,194,390,584,99,62,59,89,218,999
